instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,1,0,6,0,2,49.2,46.56725033,83.2,8.5,331,654,985
2,2011-01-02,1,0,1,0,0,0,2,49.5,50.86281411,71.9,11,131,670,801
3,2011-01-03,1,0,1,0,1,1,1,33.4,34.6271619,44.7,10.3,120,1229,1349
4,2011-01-04,1,0,1,0,2,1,1,33.9,31.96273842,60.3,6.5,108,1454,1562
5,2011-01-05,1,0,1,0,3,1,1,36.5,36.13176822,43.2,8.4,82,1518,1600
6,2011-01-06,1,0,1,0,4,1,1,33.7,29.52942468,54,4.5,88,1518,1606
7,2011-01-07,1,0,1,0,5,1,2,33.4,31.43011985,51.1,6.9,148,1362,1510
8,2011-01-08,1,0,1,0,6,0,2,30.5,31.0161845,65.6,7.8,68,891,959
9,2011-01-09,1,0,1,0,0,0,1,28.1,33.45949903,44.5,15,54,768,822
10,2011-01-10,1,0,1,0,1,1,1,29.3,29.28931989,49.3,9,41,1280,1321
11,2011-01-11,1,0,1,0,2,1,2,30.6,27.02432102,80,4.5,43,1220,1263
12,2011-01-12,1,0,1,0,3,1,1,30.9,33.25957825,62.4,12.5,25,1137,1162
13,2011-01-13,1,0,1,0,4,1,1,30.6,33.46301439,47.8,12.4,38,1368,1406
14,2011-01-14,1,0,1,0,5,1,1,30.2,25.78523775,54.8,5.6,54,1367,1421
15,2011-01-15,1,0,1,0,6,0,2,37.4,35.17223754,50.2,6.6,222,1026,1248
16,2011-01-16,1,0,1,0,0,0,1,36.5,36.10261211,48.1,8.6,251,953,1204
17,2011-01-17,1,0,1,1,1,0,2,31.1,30.93497406,62.9,8.3,117,883,1000
18,2011-01-18,1,0,1,0,2,1,2,33.8,31.52089716,88.8,8.5,9,674,683
19,2011-01-19,1,0,1,0,3,1,2,40,39.16252823,80.3,7.2,78,1572,1650
20,2011-01-20,1,0,1,0,4,1,2,39,40.01181337,55.1,9,83,1844,1927
21,2011-01-21,1,0,1,0,5,1,1,32.2,36.21232569,52.5,13,75,1468,1543
22,2011-01-22,1,0,1,0,6,0,1,21,15.70437184,41.9,7.4,93,888,981
23,2011-01-23,1,0,1,0,0,0,1,24.5,23.92556842,43.8,10.1,150,836,986
24,2011-01-24,1,0,1,0,1,1,1,24.9,20.56341364,50.9,6.8,86,1330,1416
25,2011-01-25,1,0,1,0,2,1,2,36,34.3041198,62.3,5.3,186,1799,1985
26,2011-01-26,1,0,1,0,3,1,3,34.8,37.17583497,89.4,12.3,34,472,506
27,2011-01-27,1,0,1,0,4,1,1,34.7,30.79881657,67.7,8.3,15,416,431
28,2011-01-28,1,0,1,0,5,1,2,33.4,30.43281613,82.3,5.1,38,1129,1167
29,2011-01-29,1,0,1,0,6,0,1,33.4,30.9430942,66.4,6,123,975,1098
30,2011-01-30,1,0,1,0,0,0,1,35.2,30.44708176,71.6,3.2,140,956,1096
31,2011-01-31,1,0,1,0,1,1,2,31.1,30.19547007,60.9,7.4,42,1459,1501
32,2011-02-01,1,0,2,0,2,1,2,32.6,26.7124564,86.3,2.1,47,1313,1360
33,2011-02-02,1,0,2,0,3,1,2,38.7,39.54924396,83.3,8.7,72,1454,1526
34,2011-02-03,1,0,2,0,4,1,1,32.7,34.36902765,45.1,10.9,61,1489,1550
35,2011-02-04,1,0,2,0,5,1,2,35,32.3537209,59.2,5.6,88,1620,1708
36,2011-02-05,1,0,2,0,6,0,2,36.3,34.84759975,96.4,5.8,100,905,1005
37,2011-02-06,1,0,2,0,0,0,1,41.4,40.57134991,57.3,5.8,354,1269,1623
38,2011-02-07,1,0,2,0,1,1,1,40.2,35.96484664,75.8,1.9,120,1592,1712
39,2011-02-08,1,0,2,0,2,1,1,35,38.9876971,52.3,15.9,64,1466,1530
40,2011-02-09,1,0,2,0,3,1,2,27.8,25.96956953,56.5,8.5,53,1552,1605
41,2011-02-10,1,0,2,0,4,1,1,28.6,27.60553668,43.8,9.2,47,1491,1538
42,2011-02-11,1,0,2,0,5,1,1,32.1,28.428877,54.2,4,149,1597,1746
43,2011-02-12,1,0,2,0,6,0,1,35.8,34.19344592,55,8.6,288,1184,1472
44,2011-02-13,1,0,2,0,0,0,1,44.3,43.26245661,46.8,11.2,397,1192,1589
45,2011-02-14,1,0,2,0,1,1,1,52.9,55.11108322,38.1,17.7,208,1705,1913
46,2011-02-15,1,0,2,0,2,1,1,39.5,41.33508145,31.8,12.2,140,1675,1815
47,2011-02-16,1,0,2,0,3,1,1,45,45.2933112,43.4,10.5,218,1897,2115
48,2011-02-17,1,0,2,0,4,1,1,55.4,56.32730102,52,9.7,259,2216,2475
49,2011-02-18,1,0,2,0,5,1,1,62.8,63.98784257,49.5,11.3,579,2348,2927
50,2011-02-19,1,0,2,0,6,0,1,51,52.01152007,20.2,21.4,532,1103,1635
51,2011-02-20,1,0,2,0,0,0,1,41.3,42.47453251,42.2,9,639,1173,1812
52,2011-02-21,1,0,2,1,1,0,2,39.9,42.60489906,68.8,14,195,912,1107
53,2011-02-22,1,0,2,0,2,1,1,30.4,29.77723737,69.9,10.4,74,1376,1450
54,2011-02-23,1,0,2,0,3,1,1,35.7,32.21625813,43.6,3.8,139,1778,1917
55,2011-02-24,1,0,2,0,4,1,2,43.2,44.16515867,73.5,11.1,100,1707,1807
56,2011-02-25,1,0,2,0,5,1,2,49.5,51.46143508,76.3,13.6,120,1341,1461
57,2011-02-26,1,0,2,0,6,0,1,41.4,41.44518626,55,7.9,424,1545,1969
58,2011-02-27,1,0,2,0,0,0,1,46.8,45.7828492,67.7,4.7,694,1708,2402
59,2011-02-28,1,0,2,0,1,1,2,54.2,55.16921658,87.6,11.8,81,1365,1446
60,2011-03-01,1,0,3,0,2,1,1,39.4,39.81627867,54.1,8.5,137,1714,1851
61,2011-03-02,1,0,3,0,3,1,1,46.5,48.66888909,43.5,13.9,231,1903,2134
